"Date","Rank"
06-12-2024,"884,335"
07-12-2024,"853,652"
10-12-2024,"817,785"
12-12-2024,"795,114"
14-12-2024,"785,029"
15-12-2024,"754,053"
17-12-2024,"744,892"
18-12-2024,"719,877"
19-12-2024,"690,716"
23-12-2024,"678,893"
28-12-2024,"659,146"
29-12-2024,"655,431"
30-12-2024,"647,792"
05-02-2025,"598,897"
06-02-2025,"582,002"
07-02-2025,"562,647"
08-02-2025,"547,365"
10-02-2025,"528,718"
14-02-2025,"501,018"
17-02-2025,"483,018"
20-02-2025,"460,847"
26-02-2025,"438,375"
01-03-2025,"427,814"
13-03-2025,"371,814"
22-03-2025,"288,631"
24-03-2025,"239,162"
28-03-2025,"197,885"
08-04-2025,"137,194"
09-04-2025,"132,718"
10-04-2025,"132,718"
11-04-2025,"128,979"
12-04-2025,"128,979"
